time,N,E,heading
443.90790605545044,352.1732766477911,160.1529237836772,12.8
444.84625482559204,354.58560177469894,160.57208049757094,12.8
445.8275411128998,357.1834850225905,160.8864192789094,12.9
446.67656087875366,359.59580475488247,161.305572606922,12.9
447.60620284080505,362.1936864011124,161.72471859169713,12.9
448.5964460372925,364.79156809939127,162.1438640767504,12.9
449.4262390136719,367.3894498444273,162.56300906229166,12.9
450.35624504089355,369.9873316413864,162.98215354879267,12.9
452.1861791610718,374.9975452733395,163.8204531175258,13.0
453.1164040565491,377.59542730108217,164.2395961364652,13.0
454.9266891479492,382.79119150923657,165.07788067623693,13.0
455.87663221359253,385.3890797304497,165.49702478598556,13.0
457.68606209754944,390.5848504425899,166.3353089441514,13.0
458.61609721183777,393.36830090466697,166.75444449435605,13.0
460.4277169704437,398.56406373898733,167.69753006961173,13.0
461.3763220310211,401.1619463119658,168.11666852670555,13.0
463.18624901771545,406.54328624242106,168.95494204097412,13.0
464.1166169643402,409.1411731163394,169.47888839086926,13.0
465.92645621299744,414.52250898420954,170.52677196221595,12.9
466.8760299682617,417.3059579779549,171.05070913965812,12.9
468.68793392181396,422.687290151841,171.99377973991733,12.9
469.61749792099,425.28517997726294,172.4129160289486,12.9
471.44643688201904,430.6665209297494,173.5656009965997,12.9
472.42712807655334,433.44997301002604,173.98472821174104,12.9
474.16667103767395,438.83131031973187,175.03260041467803,12.9
475.17698407173157,441.61475311732886,175.5565290656247,13.0
475.986536026001,444.39819863856553,175.97565123638475,13.0
476.91658902168274,447.1816414418696,176.49957859359722,13.0
477.9088430404663,449.9650912859822,177.02350803477137,13.0
478.75654315948486,452.7485341051565,177.54743402968836,13.0
479.67642402648926,455.71753167299875,178.07134897831912,13.0
480.6666250228882,458.50097442026504,178.595273572282,13.0
481.496689081192,461.46998335825776,179.2239979907515,13.1
482.44626116752625,464.25343040922166,179.8527291845739,13.1
483.42608308792114,467.03688046421803,180.3766543847915,13.1
484.2574460506439,470.0058894661041,181.00537631200154,13.1
485.1861219406128,472.78933963969325,181.5293000774751,13.1
487.0160892009735,478.5417914857321,182.68193983547536,13.1
487.946485042572,481.32524180731724,183.20586148863924,13.1
489.7569270133972,487.07770899143173,184.35850245757217,13.1
490.706228017807,490.04671820001545,184.98721869244224,13.1
492.51634216308594,495.98475550393863,186.13984998085664,13.0
493.446918964386,498.95376487136446,186.76856369079496,13.0
495.27640199661255,504.8917949505051,187.92118728774284,13.0
496.2062611579895,508.04638224406324,188.54989634021155,13.0
498.0161039829254,513.9844129621106,189.70251512543143,13.0
498.94663882255554,516.7678688423367,190.33123483333856,13.0
500.77654504776,522.8914702066379,191.48384373692028,13.0
501.70700192451477,525.8604837144779,192.0077462825072,13.0
503.5164349079132,531.7985239304144,193.1603586900314,13.0
504.5072090625763,534.7675423790819,193.78906539754735,13.0
506.25643706321716,540.891141498674,195.04646794585278,13.0
507.2465102672577,544.0457259980741,195.5703606502691,13.0
508.0775330066681,547.2002982314399,196.19905254459087,13.0
508.99642395973206,550.1693171838755,196.82775496273274,13.0
509.99655199050903,553.3239020869329,197.35164529125296,13.0
510.827917098999,556.4784919201873,197.980340725426,13.0
511.7562439441681,559.6330644136674,198.60902905560704,13.0
512.7463581562042,562.6020878485571,199.13292546687785,12.9
513.578222990036,565.7566645094066,199.65680956369317,12.9
514.5262269973755,569.0968079844811,200.28548992913676,12.8
515.506334066391,572.0658228877055,200.80938095498846,12.8
516.3360981941223,575.2203956148999,201.43806494682593,12.8
517.2663481235504,578.3749774166118,202.06675117076094,12.8
519.0964810848236,584.6841272830402,203.21931254248227,12.7
520.0267899036407,587.8387093346785,203.8479961030426,12.8
521.8562288284302,594.1478545879127,204.89574741356097,12.7
522.788223028183,597.4879987998906,205.5244196430715,12.7
524.597570180893,603.9827111819233,206.67696207648254,12.7
525.5464110374451,607.1372697069557,207.20082922801157,12.7
527.366222858429,613.6319821652927,208.3533665335996,12.7
528.2864351272583,616.7865551753453,208.9820388873122,12.7
530.0961790084839,623.2812678411533,210.13457092512468,12.6
531.0462439060211,626.4358310810752,210.76323725479244,12.6
532.8562700748444,632.7449621073272,211.9157663926864,12.6
533.7861268520355,635.8995450405773,212.54443661397232,12.6
535.5966658592224,642.2086908833649,213.59216345855904,12.6
536.5869340896606,645.3632587871481,214.116024057014,12.6
538.3366069793701,651.8579922593383,215.26854740337683,12.6
539.326150894165,655.0125807933139,215.79241235431363,12.6
540.1563458442688,658.1671591882184,216.31627317950944,12.5
541.0866272449493,661.5073047811275,216.94492732164628,12.5
542.0760340690613,664.6618833433463,217.46878653251434,12.6
542.9066619873047,667.816456754869,218.0974447226175,12.6
543.8382730484009,671.1566078655784,218.62129645228205,12.6
544.8266370296478,674.3111919420458,219.24995628345772,12.6
545.6775920391083,677.4657708403872,219.7738122886385,12.6
546.6066708564758,680.8059276982225,220.40246444643364,12.6
547.596846818924,683.9605068133211,220.92631884549593,12.524165419819122
548.4265069961548,687.3006479266429,221.45016306483635,12.6
549.3563799858093,690.4552433561894,222.07882200512253,12.6
551.1883690357208,697.1355261065003,223.12650633043143,12.6
552.1175539493561,700.2901220269558,223.75516267617468,12.6
553.9271640777588,706.7848596659928,225.11725830114284,12.5
554.8976650238037,710.125018052548,225.74590225167407,12.5
556.6864891052246,716.6197622859335,227.0031934288778,12.5
557.6165630817413,719.959909964358,227.63183100499174,12.4
559.4283132553101,726.4546550896482,228.88911658600557,12.4
560.3762519359589,729.7948031404419,229.51775130909522,12.3
562.1897218227386,736.2895376159684,230.77502768390337,12.3
563.1171181201935,739.444130072895,231.2988715706379,12.3
564.9401249885559,745.9388596686917,232.45134124677793,12.2
565.8788640499115,749.0934464254316,233.0799803579546,12.2
567.6865520477295,755.773738538896,234.2324348641169,12.2
568.6164700984955,758.9283080589803,234.75626662626937,12.124188100326725
570.466313123703,765.6086182757037,236.01352044616985,12.1
571.376757144928,768.7632056372449,236.64215414397756,12.1
573.1869399547577,775.2579426374048,237.8994086881891,12.0
574.1289632320404,778.4125181129386,238.52803589862236,12.0
575.9481010437012,784.9072498834979,239.68048448677632,12.0
576.8772959709167,788.061819686864,240.20430871214518,11.9
578.6880531311035,794.5565452362305,241.46154856842503,11.9
579.6166460514069,797.8966953257095,242.09016382018467,11.8
581.4880919456482,804.3914212537387,243.34739798203785,11.7
582.4667220115662,807.5459969931271,243.97601692510608,11.7
584.2066838741302,814.0407359627454,245.23324926209082,11.6
585.1606090068817,817.1953059110031,245.75706584947386,11.6
586.9267399311066,823.6900324726855,247.01428886667819,11.6
587.8765330314636,826.8446024292857,247.53810296197196,11.6
589.6865952014923,833.3393493885768,248.69052908869475,11.7
590.6168031692505,836.4939385410146,249.31914377892986,11.8
592.4375510215759,842.8031243554844,250.47157540455726,11.8
593.3764400482178,845.9577138577981,251.1001874513222,11.9
595.1878819465637,852.2668737534018,252.25260615187074,11.9
596.1167109012604,855.6070388806387,252.88120873162518,11.9
597.9465029239655,862.1017942850419,254.13841789798852,12.0
598.9207570552826,865.2563980162715,254.76702850363716,12.0
600.6866540908813,871.7511619246127,255.91943789591022,11.9
601.6864840984344,874.9057662576411,256.5480458788161,11.9
602.4965319633484,878.0603646151176,257.07185486400215,11.9
603.4070348739624,881.2149693436049,257.70046114120527,11.9
604.4177749156952,884.5551161950139,258.22425354246,11.8
605.2539401054382,887.7097073524867,258.85285402820944,11.8
606.1673579216003,891.0498606093593,259.48144256362605,11.7
607.1766331195831,894.2044457280737,260.00524348129477,11.7
608.0079460144043,897.3590512520358,260.6338453637049,11.7
608.9365079402924,900.6992189837354,261.26243523965866,11.776238992055136
610.7571420669556,907.1939725458622,262.41482181024213,11.9
611.7065000534058,910.3485867800455,262.93862691619734,11.9
613.5167710781097,916.6577649421049,264.09101562460313,12.2
614.4466540813446,919.8123509780687,264.61481017108986,12.3
616.2594771385193,926.1215296712287,265.7671939518625,12.5
617.2074599266052,929.4616779708876,266.2909748175025,12.7
619.0165979862213,935.7708571932401,267.44335362168584,12.9
